"METADATA_COLNAME","METADATA_COLNAME_LONG","METADATA_UNITS","METADATA_DATATYPE","METADATA_COLNAME_DESC"
"LENGTH_MM","Length of a specimen","millimeters","NUMBER(10,0)","Length bin in millimeters. A length of -9 indicates cases where no lengths were collected within a stratum for a species/year, even though catch numbers were recorded."
"LENGTH_MM_MEAN","Mean length at age weighted by numbers at length","numeric","NUMBER(38,3)","Mean length (millimeters)."
"LENGTH_MM_SD","Standard deviation of length at age weighted by numbers at length","numeric","NUMBER(38,3)","Variance of mean length."
"LENGTH_TYPE","Length type","ID key code","NUMBER(38,0)","How the taxon was measured (e.g., fork length, carapace width). For a complete list of length_type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"LONGITUDE_DD","Longitude (decimal degrees)","decimal degrees","NUMBER(38,6)","Longitude (one hundred thousandth of a decimal degree)."
"LONGITUDE_DD_END","End longitude (decimal degrees)","decimal degrees","NUMBER(38,6)","Longitude (one hundred thousandth of a decimal degree) of the end of the haul."
"LONGITUDE_DD_START","Start longitude (decimal degrees)","decimal degrees","NUMBER(38,6)","Longitude (one hundred thousandth of a decimal degree) of the start of the haul."
"MATURITY","Specimen maturity code","ID key code","NUMBER(38,0)","The maturity code or the condition identified by the maturity code."
"METADATA_COLNAME","Column name","text","VARCHAR2(4000 BYTE)","Name of the column in a table."
"METADATA_COLNAME_DESC","Column description","text","VARCHAR2(4000 BYTE)","Description of the column."
"METADATA_COLNAME_LONG","Column name spelled out","text","VARCHAR2(4000 BYTE)","Long name for the column."
"METADATA_DATATYPE","Oracle datatype code","text","VARCHAR2(4000 BYTE)","Oracle data type of data column."
"METADATA_SENTENCE","Sentence","text","VARCHAR2(4000 BYTE)","Table metadata sentence."
"METADATA_SENTENCE_NAME","Metadata sentence name","text","VARCHAR2(4000 BYTE)","Name of table metadata sentence."
"METADATA_SENTENCE_TYPE","Sentence type","text","VARCHAR2(4000 BYTE)","Type of sentence to have in table metadata."
"METADATA_UNITS","Units","category","VARCHAR2(4000 BYTE)","Units of the column."
"N_COUNT","Hauls with taxon counts","numeric","NUMBER(38,0)","Total number of hauls with positive count data."
"N_HAUL","Valid hauls","count","NUMBER(38,0)","Total number of hauls."
"N_LENGTH","Hauls with taxon lengths","count","NUMBER(38,0)","Total number of hauls with length data."
"N_SPECIMENS","Number of specimens in the lot","count","NUMBER(38,0)","Number of specimens in the voucher lot"
"N_WEIGHT","Hauls with catch","count","NUMBER(38,0)","Total number of hauls with positive catch biomass."
"N_SAMPLE","Hauls with sample","count","NUMBER(38,0)","Total number of hauls with positive sample collection."
"NET_HEIGHT_M","Net height (m)","meters","NUMBER(38,1)","Measured or estimated distance (meters) between footrope and headrope of the trawl."
"NET_MEASURED","Net measured during haul","logical","BINARY_DOUBLE","Logical, describing if the net was measured (TRUE) or not (FALSE) by wheelhouse and marport programs during the haul."
"NET_WIDTH_M","Net width (m)","meters","NUMBER(38,1)","Measured or estimated distance (meters) between wingtips of the trawl."
"NEW_ID","New specimen identification","text","VARCHAR2(255 BYTE)","Confirmed taxonomist identification of the vouchered specimen"
"ORDER_TAXON","Order phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of order of a given species."
"FIELD_ID","Field specimen identification","text","VARCHAR2(255 BYTE)","Field identification for the vouchered specimen"
"PERFORMANCE","Haul performance code","category","NUMBER(38,0)","This denotes what, if any, issues arose during the haul. For more information, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"PHYLUM_TAXON","Phylum phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of phylum of a given species."
"POPULATION_COUNT","Estimated population","numeric","NUMBER(38,0)","The estimated population caught in the survey for a species, group, or total for a given survey."
"POPULATION_VAR","Estimated population variance","numeric","NUMBER(38,6)","The estimated population variance caught in the survey for a species, group, or total for a given survey."
"PRINCIPAL_INVESTIGATOR","Principle investigator","text","VARCHAR2(255 BYTE)","First and last name of principal investigator for a project."
"PROJECT_TITLE","Title of special project","text","VARCHAR2(255 BYTE)","Special project title."
"PROJECT_TITLE_SHORT","Short title of special project","text","VARCHAR2(255 BYTE)","Special project short title (short version of PROJECT_TITLE)."
"RANK_ID","Taxonomic rank","category","VARCHAR2(255 BYTE)","The taxonomic rank of a taxon identification."
"REASON","Reason for taxonomic change","text","VARCHAR2(255 BYTE)","Reason for taxonomic change; pulled directly from online database (i.e. WoRMS or ITIS)"
"SAMPLE_TYPE","Sample type","ID key code","NUMBER(38,0)","Sampling information on how the taxon was sampled. For a complete list of length_type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SCIENTIFIC_NAME","Taxon scientific name","text","VARCHAR2(255 BYTE)","The scientific name of the organism associated with the common_name and species_code columns. For a complete taxon list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SEX","Sex of a specimen","ID key code","NUMBER(38,0)","Sex of a specimen where ""1"" = ""Male"", ""2"" = ""Female"", ""3"" = Unsexed."
"SPECIES_CODE","Taxon code","ID key code","NUMBER(38,0)","The species code of the organism associated with the common_name and scientific_name columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SPECIES_NAME","Scientific name of species","text","VARCHAR2(255 BYTE)","Scientific name of species."
"SPECIES_NAME_ACCEPTED","Scientific name used in taxonomic database","text","VARCHAR2(255 BYTE)","Scientific name of species used in taxonomic ""DATABASE"" column."
"SPECIES_NAME_SURVEY","Scientific name used in survey data","text","VARCHAR2(255 BYTE)","Scientific name of species historically or currently used in the survey."
"SPECIMEN_ID","Specimen unique ID","ID key code","NUMBER(38,0)","Each individual examined must have a number assigned to it that is unique within each haul (0001 to 9999), though specimen numbers may be repeated between hauls"
"SPECIMEN_SAMPLE_TYPE","Specimen sample type","ID key code","NUMBER(38,0)","The specimen sample type ID key code as defined in the RACE_DATA.SPECIMEN_SAMPLE_TYPES table. For a complete list of Specimen sample type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SPECIMEN_SUBSAMPLE_METHOD","Specimen subsample method","ID key code","NUMBER(38,0)","For a complete list of specimen subsample method ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SRVY","Survey abbreviation","text abbreviated","VARCHAR2(255 BYTE)","Abbreviated survey names. The column srvy is associated with the survey and survey_definition_id columns. Northern Bering Sea (NBS), Southeastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), Aleutian Islands (AI)."
"STANDARD_LENGTH_MM","Standard length of specimens (mm)","numeric","VARCHAR2(255 BYTE)","Standard length of specimen or range of lengths if multiple specimens in lot; measured by taxonomists in lab"
"STATION","Station ID","ID key code","VARCHAR2(255 BYTE)","Alpha-numeric designation for the station established in the design of a survey."
"STRATUM","Stratum ID","ID key code","NUMBER(10,0)","RACE database statistical area for analyzing data. Strata were designed using bathymetry and other geographic and habitat-related elements. The strata are unique to each survey region. Stratum of value 0 indicates experimental tows."
"SUBCLASS_TAXON","Subclass phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of subclass of a given species."
"SUBFAMILY_TAXON","Subfamily phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of subfamily of a given species."
"SUBMISSION_DATE","Date","YYYY-MM-DD","DATE","Date special projects were due to be submitted for the upcoming survey season."
"SUBORDER_TAXON","Suborder phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of suborder of a given species."
"SUBPHYLUM_TAXON","Subphylum phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of subphylum of a given species."
"SUPERCLASS_TAXON","Superclass phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of superclass of a given species."
"SUPERFAMILY_TAXON","Superfamily phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of superfamily of a given species."
"SUPERORDER_TAXON","Superorder phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of superorder of a given species."
"SURFACE_TEMPERATURE_C","Surface temperature (degrees Celsius)","degrees Celsius","NUMBER(38,1)","Surface temperature (tenths of a degree Celsius); NA indicates removed or missing values."
"SURVEY","Survey name","text","VARCHAR2(255 BYTE)","Name and description of survey. The column survey is associated with the srvy and survey_definition_id columns."
"SURVEY_DEFINITION_ID","Survey ID","ID key code","NUMBER(38,0)","The survey definition ID key code is an integer that uniquely identifies a survey region/survey design. The column survey_definition_id is associated with the srvy and survey columns. Full list of survey definition IDs are in RACE_DATA.SURVEY_DEFINITIONS and in the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SURVEY_ID","Survey ID raw","ID key code","NUMBER(38,0)","The survey ID uniquely identifies a survey instance."
"SURVEY_SPECIES","Species used in survey","logical","BINARY_DOUBLE","Designates whether or not species name is accepted/actively used in the RACE surveys"
"TAXON_CONFIDENCE","Taxon confidence rating","category","VARCHAR2(255 BYTE)","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **High**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **Moderate**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **Low**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
"TAXON_CONFIDENCE_CODE","Taxon confidence rating","category","NUMBER(38,0)","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **High**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **Moderate**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **Low**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
"TRAWLABLE","Trawlable stations","logical","BINARY_DOUBLE","Logical, describing if stations are trawlable (TRUE) or not (FALSE)."
"VESSEL_CALLSIGN","Vessel call sign","ID key code","NUMBER(38,0)","A call sign is a designated sequence of letters and numbers that are assigned when a vessel, whether it be a sailing yacht, motor yacht, rib or commercial vessel, receives its Ship Radio Licence. The vessel also receives its MMSI number, so that each vessel is uniquely identified."
"VESSEL_COAST_GUARD_NUMBER","Vessel coast guard number","ID key code","NUMBER(38,0)","Official Identification number as defined by www.dco.uscg.mil. The Official Number (O/N) is the 6 or 7 digit number awarded to the vessel at the time it is first documented with the US Coast Guard. This number remains with the vessel indefinitely and should be marked in accordance with 46 CFR 67.121."
"VESSEL_ID","Vessel ID","ID key code","NUMBER(38,0)","ID number of the vessel used to collect data for that haul. The column vessel_id is associated with the vessel_name column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"VESSEL_IMO","Vessel international maritime organization number","ID key code","NUMBER(38,0)","The International Maritime Organization (IMO) number consists of the letters ""IMO"" followed by a unique, seven-digit number: the pattern is ""NNNNNNN"", where N is a single-digit number, e.g., ""1234567"""
"VESSEL_LENGTH_M","Vessel length (m)","meters","NUMBER(38,0)","The length of vessel in meters."
"VESSEL_MMSI","Vessel maritime mobile service identities","ID key code","NUMBER(38,0)","Maritime Mobile Service Identities (MMSIs) are nine-digit numbers used by maritime digital selective calling (DSC), automatic identification systems (AIS) and certain other equipment to uniquely identify a ship or a coast radio station."
"VESSEL_NAME","Vessel name","text","VARCHAR2(255 BYTE)","Name of the vessel used to collect data for that haul. The column vessel_name is associated with the vessel_id column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"VESSEL_OWNER","Vessel owner","text","VARCHAR2(255 BYTE)","Name of vessel owner or company."
"VESSEL_TONNAGE","Vessel tonnage","metric tons","NUMBER(38,0)","The tonnage of vessel in metric tons."
"VOUCHER","Voucher number","numeric","NUMBER(38,0)","The voucher number of the specimen within a single haul"
"WEIGHT_G","Specimen weight (g)","grams","NUMBER(38,1)","Weight of specimen (grams)."
"WEIGHT_KG","Sample or taxon weight (kg)","kilograms","NUMBER(38,3)","Weight (thousandths of a kilogram) of individuals in a haul by taxon."
"WIRE_LENGTH_M","Trawl wire length","meters","NUMBER(38,0)","Length of wire deployed during a given haul in meters."
"WORMS","World register of marine species (WoRMS) taxonomic serial number","ID key code","NUMBER(38,0)","Species code as identified in the World Register of Marine Species (WoRMS) (https://www.marinespecies.org/)."
"YEAR","Survey year","year","NUMBER(10,0)","Year the observation (survey) was collected."
"AGE","Taxon age bin (yrs)","integer","NUMBER(38,0)","Age bin of taxon. Age bin of a taxon in years estimated by the age comp estimate. Age -9 indicates unaged lengths for a particular sex because no otoliths were collected for that sex/length combination. Age -99 indicates a case where no lengths were collected within a stratum for a species/year even though catch numbers were recorded."
"AGE_DETERMINATION_METHOD","Aging method","ID key code","NUMBER(10,0)","Numeric code corresponding to the method of age determination. For a complete list of age determination codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SURVEY_NAME","Survey name official","text","VARCHAR2(255 BYTE)","Long name of the survey conducted"
"AREAJOIN","Area polygon ID","ID key code","NUMBER(38,0)","A call sign is a designated sequence of letters and numbers that are assigned when a vessel, whether it be a sailing yacht, motor yacht, rib or commercial vessel, receives its Ship Radio Licence. The vessel also receives its MMSI number, so that each vessel is uniquely identified."
"POLYGON_WKT","Polygon well known text","code string","VARCHAR2(255 BYTE)","Well-known text (WKT) representation of geometry for a AREA_JOIN polygon. WKT is a text markup language for representing vector geometry objects."
"POLYGON_WKB","Polygon binary string","code string","VARCHAR2(255 BYTE)","Well-known binary (WKB) representation of geometry for a AREA_JOIN polygon. WKB is used to transfer and store the same information in a more compact form convenient for computer processing but that is not human-readable."
"OLD_SPECIES_NAME","Old species name","text","VARCHAR2(255 BYTE)","Taxonomic name previously used in the database"
"OLD_SPECIES_CODE","Old species code","ID key code","NUMBER(10,0)","Species code associated with old species name"
"NEW_SPECIES_NAME","New species name","text","VARCHAR2(255 BYTE)","Updated taxonomic name"
"NEW_SPECIES_CODE","New species code","ID key code","NUMBER(10,0)","Species code associated with new species name"
"ACTION","Database action","text","VARCHAR2(255 BYTE)","Standard action taken to alter current database record"
"YEAR_CHANGED","Year changed","numeric","DATE","Year change implemented in database"
"INFRAORDER_TAXON","Infraorder phylogenetic rank","category","VARCHAR2(255 BYTE)","Infraorder phylogenetic rank. Phylogenetic latin rank of infraorder of a given speices."
"INFRACLASS_TAXON","Infraclass phylogenetic rank","category","VARCHAR2(255 BYTE)","Infraclass phylogenetic rank. Phylogenetic latin rank of infraclass of a given speices."
"CATALOG_NUM","Catalog number","text","VARCHAR2(255 BYTE)","Museum catalog number associated with record"
"GEOMETRY","Spatial geometry","text","VARCHAR2(255 BYTE)","Spatial geometry information (like points, lines, or polygons) a feature."
"AREA_ID_FOOTPRINT","Survey Footprint","text","VARCHAR2(4000 BYTE)","Survey footprint, usually equivalent to the SURVEY_DEFINITION_ID with the exception of the Standard and Standard +NW survey footprints in the Eastern Bering Sea shelf bottom trawl survey."
"GROUP_CODE","Species or Complex ID","ID key code","NUMBER(38,0)","Equivalent to the SPECIES_CODE if the taxon is reported as a single taxon in GAP_PRODUCTS, otherwise denotes a SPECIES_CODE of a higher taxonomic group to which the taxon is aggregated in the GAP_PRODUCTS CPUE and BIOMASS tables."
"ABUNDANCE_HAUL","Design-based index approved haul","logical","VARCHAR2(255 BYTE)","Logical, describing if this haul was conducted in a standard manner and thus used for design-based index estimates (TRUE) or not (FALSE)."
"ACCESSORIES","Type of gear accessories used on the net","ID key code","NUMBER(38,0)","Type of accessories used on net. For a complete list of accessories ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"ACTIVE","Vessel active/inactive","logical","VARCHAR2(255 BYTE)","Logical, describing if a vessel is active (TRUE) or not (FALSE)."
"AGE_DETERMINATION_METHODS","Age determination method","ID key code","NUMBER(38,0)","A unique ID used to identify this age determination method."
"AGE_YEAR","Age bin of taxon","year","NUMBER(38,0)","Age bin of a taxon in years estimated by the age comp estimate."
"AGENCY_ACRONYM","Acronym of listed Agency","text abbreviated","VARCHAR2(255 BYTE)","Abbreviated agencies that are affiliated with the Alaska bottom trawl survey. The column agency_acronym is associated with the agency_short and agency_long columns."
"AGENCY_JOIN","Agency ID","ID key code","NUMBER(38,0)","Affiliated agency ID key code."
"AGENCY_LONG","Official name of agency","text","VARCHAR2(255 BYTE)","Full official name of affiliated agencies to the Alaska bottom trawl survey. The column agency_long is associated with the agency_acronym and agency_short columns."
"AGENCY_SHORT","Agency shorthand name","text","VARCHAR2(255 BYTE)","A sort version of the full official name of affiliated agencies to the Alaska bottom trawl survey. The column agency_short is associated with the agency_acronym and agency_long columns."
"AREA_ID","Area ID","ID key code","NUMBER(38,0)","Area ID key code for each statistical area used to produce production estimates (e.g., biomass, population, age comps, length comps). Each area ID is unique within each survey."
"AREA_KM2","Area (km2)","kilometers squared","NUMBER(38,3)","Area in square kilometers."
"AREA_NAME","Area ID name","text","VARCHAR2(4000 BYTE)","Descriptive name of each AREA_ID. These names often identify the region, depth ranges, or other regional information for the area ID."
"AREA_SWEPT_KM2","Area swept (km)","kilometers","NUMBER(38,6)","The area the net covered while the net was fishing (kilometers squared), defined as the distance fished times the net width."
"AREA_TYPE","Area ID type description","category","VARCHAR2(255 BYTE)","The type of stratum that AREA_ID represents. Types include: STRATUM (the smallest building-block unit of area in these surveys), REGION, DEPTH, SUBAREA, INPFC BY DEPTH, INPFC, SUBAREA BY DEPTH, REGULATORY AREA, NMFS STATISTICAL AREA."
"BIOMASS_MT","Estimated biomass","numeric","NUMBER(38,6)","The estimated total biomass."
"BIOMASS_VAR","Estimated biomass variance","numeric","NUMBER(38,6)","The estimated variance associated with the total biomass."
"BOTTOM_TEMPERATURE_C","Bottom temperature (degrees Celsius)","degrees Celsius","NUMBER(38,1)","Bottom temperature (tenths of a degree Celsius); NA indicates removed or missing values."
"BOTTOM_TYPE","Seafloor bottom type code","ID key code","NUMBER(38,0)","Bottom type on sea floor at haul location. For a complete list of bottom type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"CATCHJOIN","Catch observation ID","ID key code","NUMBER(38,0)","Unique integer ID assigned to each survey, vessel, year, and catch observation combination."
"CLASS_TAXON","Class phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of class of a given species."
"CLASSIFICATION","Taxonomic classification rank group","category","VARCHAR2(255 BYTE)","Phylogenetic classification group rank for a given species."
"COLLECTED_BY","Person who collected specimen","text","VARCHAR2(255 BYTE)","Initials of person who collected specimen in the field"
"COMMENTS","Comments","text","VARCHAR2(4000 BYTE)","Comments regarding row observation."
"COMMON_NAME","Taxon common name","text","VARCHAR2(255 BYTE)","The common name of the marine organism associated with the scientific_name and species_code columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"COUNT","Taxon count","count, whole number resolution","NUMBER(38,0)","Total whole number of individuals caught in haul or samples collected."
"COUNTRY_ID","Country code","ID key code","NUMBER(38,0)","Country ID key code of where a vessel, for example, may be from. For a complete list of country ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"CPUE_KGHA","Weight CPUE (kg/ha)","kilograms per hectare","NUMBER(38,6)","Catch weight (kilograms) per unit effort (area swept by the net, units hectares)."
"CPUE_KGKM2","Weight CPUE (kg/km2)","kilograms per kilometers squared","NUMBER(38,6)","Catch weight (kilograms) per unit effort (area swept by the net, units square kilometers)."
"CPUE_KGKM2_MEAN","Mean weight CPUE","kilograms per kilometers squared","NUMBER(38,6)","The mean catch weight (kilograms) per unit effort (area swept by the net, units squared kilometers)."
"CPUE_KGKM2_VAR","Variance of the mean weight CPUE","kilograms per kilometers squared","NUMBER(38,6)","The variance of mean catch weight (kilograms) per unit effort (area swept by the net, units squared kilometers)."
"CPUE_NOHA","Number CPUE (no/ha)","count per hectare","NUMBER(38,6)","Numerical catch per unit effort (area swept by the net, units hectares)."
"CPUE_NOKM2","Number CPUE (no/km2)","count per kilometers squared","NUMBER(38,6)","Numerical catch per unit effort (area swept by the net, units square kilometers)."
"CPUE_NOKM2_MEAN","Mean numeric CPUE","count per kilometers squared","NUMBER(38,6)","The mean of numerical catch per unit effort (area swept by the net, units square kilometers)."
"CPUE_NOKM2_VAR","Variance of the mean numeric CPUE","count per kilometers squared","NUMBER(38,6)","The variance of mean numerical catch per unit effort (area swept by the net, units square kilometers)."
"CRS","Coordinate reference system","ID key code","VARCHAR2(255 BYTE)","The coordinate reference system (CRS) that shapefiles were created in or areas (like AREA_KM2) are calculated in, as defined by https://spatialreference.org/ (e.g., ""+proj=longlat"", ""EPSG:3338"")."
"CRUISE","Cruise Name","ID key code","NUMBER(38,0)","This is a six-digit integer identifying the cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.)."
"CRUISEJOIN","Cruise ID","ID key code","NUMBER(38,0)","Unique integer ID assigned to each survey, vessel, and year combination."
"DATABASE","Database source","category","VARCHAR2(255 BYTE)","Taxonomic database source, either ITIS or WoRMS."
"DATABASE_ID","Species ID in database","ID key code","VARCHAR2(255 BYTE)","Species ID key code of a species in the taxonomic ""DATABASE"" source."
"DATE","Date","YYYY-MM-DD","DATE","The date (YYYY-MM-DD) of the event (e.g., cruise)."
"DATE_END","End date","YYYY-MM-DD","DATE","The date (YYYY-MM-DD) of the end of the event (e.g., cruise)."
