"SPECIES_CODE","YEAR","TAXON_CONFIDENCE","TAXON_CONFIDENCE_CODE","SURVEY_DEFINITION_ID"
436,2023,"High",1,47
440,1990,"High",1,47
440,1993,"High",1,47
440,1996,"High",1,47
440,1999,"High",1,47
440,2001,"High",1,47
440,2003,"High",1,47
440,2005,"High",1,47
440,2007,"High",1,47
440,2009,"High",1,47
440,2011,"High",1,47
440,2013,"High",1,47
440,2015,"High",1,47
440,2017,"High",1,47
440,2019,"High",1,47
440,2021,"High",1,47
440,2023,"High",1,47
441,1990,"Unassessed",,47
441,1993,"Unassessed",,47
441,1996,"Unassessed",,47
441,1999,"Unassessed",,47
441,2001,"Unassessed",,47
441,2003,"Unassessed",,47
441,2005,"High",1,47
441,2007,"Unassessed",,47
441,2009,"High",1,47
441,2011,"Unassessed",,47
441,2013,"Unassessed",,47
441,2015,"Unassessed",,47
441,2017,"Unassessed",,47
441,2019,"Unassessed",,47
441,2021,"Unassessed",,47
441,2023,"Unassessed",,47
455,1990,"Unassessed",,47
455,1993,"Unassessed",,47
455,1996,"Unassessed",,47
455,1999,"High",1,47
455,2001,"High",1,47
455,2003,"High",1,47
455,2005,"High",1,47
455,2007,"High",1,47
455,2009,"High",1,47
455,2011,"High",1,47
455,2013,"High",1,47
455,2015,"High",1,47
455,2017,"High",1,47
455,2019,"High",1,47
455,2021,"High",1,47
455,2023,"High",1,47
456,1990,"Unassessed",,47
456,1993,"Unassessed",,47
456,1996,"Unassessed",,47
456,1999,"Unassessed",,47
456,2001,"Unassessed",,47
456,2003,"Unassessed",,47
456,2005,"Unassessed",,47
456,2007,"Unassessed",,47
456,2009,"High",1,47
456,2011,"Unassessed",,47
20004,2005,"Unassessed",,47
20004,2007,"Unassessed",,47
20004,2009,"Unassessed",,47
20004,2011,"Low",3,47
20004,2013,"Low",3,47
20004,2015,"Low",3,47
20004,2017,"Low",3,47
20004,2019,"Low",3,47
20004,2021,"Low",3,47
20004,2023,"Low",3,47
20005,1990,"Unassessed",,47
20005,1993,"Unassessed",,47
20005,1996,"Unassessed",,47
20005,1999,"High",1,47
20005,2001,"High",1,47
20005,2003,"Unassessed",,47
20005,2005,"Unassessed",,47
20005,2007,"Unassessed",,47
20005,2009,"Unassessed",,47
20005,2011,"Unassessed",,47
20005,2013,"Unassessed",,47
20005,2015,"Unassessed",,47
20005,2017,"Unassessed",,47
20005,2019,"Unassessed",,47
20005,2021,"Unassessed",,47
20005,2023,"Unassessed",,47
20006,1990,"High",1,47
20006,1993,"High",1,47
20006,1996,"High",1,47
20006,1999,"High",1,47
20006,2001,"High",1,47
20006,2003,"High",1,47
20006,2005,"High",1,47
20006,2007,"High",1,47
20006,2009,"High",1,47
20006,2011,"High",1,47
20006,2013,"High",1,47
20006,2015,"High",1,47
20006,2017,"High",1,47
20006,2019,"High",1,47
20006,2021,"High",1,47
20006,2023,"High",1,47
20015,1990,"Unassessed",,47
20015,1993,"Moderate",2,47
20015,1996,"Unassessed",,47
20015,1999,"Unassessed",,47
20015,2001,"Unassessed",,47
20015,2003,"Unassessed",,47
20015,2005,"Unassessed",,47
20015,2007,"Unassessed",,47
20015,2009,"Unassessed",,47
20015,2011,"Unassessed",,47
20015,2013,"Unassessed",,47
20015,2015,"Unassessed",,47
20015,2017,"Unassessed",,47
20015,2019,"Unassessed",,47
20015,2021,"Unassessed",,47
20015,2023,"Unassessed",,47
20020,1990,"Unassessed",,47
20020,1993,"Unassessed",,47
20020,1996,"Unassessed",,47
20020,1999,"Unassessed",,47
20020,2001,"Unassessed",,47
20020,2003,"Unassessed",,47
20020,2005,"Unassessed",,47
20020,2007,"Low",3,47
20020,2009,"Unassessed",,47
20020,2011,"Unassessed",,47
20020,2013,"Unassessed",,47
20020,2015,"Unassessed",,47
20020,2017,"Unassessed",,47
20020,2019,"Unassessed",,47
20020,2021,"Unassessed",,47
20020,2023,"Unassessed",,47
20022,1990,"Unassessed",,47
20022,1993,"Unassessed",,47
20022,1996,"Low",3,47
20022,1999,"Unassessed",,47
20022,2001,"Unassessed",,47
20022,2003,"Unassessed",,47
20022,2005,"Unassessed",,47
20022,2007,"Unassessed",,47
20022,2009,"Unassessed",,47
20022,2011,"Unassessed",,47
20022,2013,"Unassessed",,47
20022,2015,"Unassessed",,47
20022,2017,"Unassessed",,47
20022,2019,"Unassessed",,47
20022,2021,"Unassessed",,47
20022,2023,"Unassessed",,47
20034,1990,"Unassessed",,47
20034,1993,"Moderate",2,47
20034,1996,"Moderate",2,47
20034,1999,"Moderate",2,47
20034,2001,"Moderate",2,47
20034,2003,"Moderate",2,47
20034,2005,"Moderate",2,47
20034,2007,"Moderate",2,47
20034,2009,"Moderate",2,47
20034,2011,"Moderate",2,47
20034,2013,"Moderate",2,47
20034,2015,"Moderate",2,47
20034,2017,"Moderate",2,47
20034,2019,"Moderate",2,47
20034,2021,"Moderate",2,47
20034,2023,"Moderate",2,47
20035,1990,"Low",3,47
20035,1993,"Low",3,47
20035,1996,"Low",3,47
20035,1999,"Low",3,47
20035,2001,"Low",3,47
20035,2003,"Low",3,47
20035,2005,"Low",3,47
20035,2007,"Low",3,47
20035,2009,"Low",3,47
20035,2011,"Unassessed",,47
20035,2013,"Unassessed",,47
20035,2015,"Unassessed",,47
20035,2017,"Unassessed",,47
20035,2019,"Unassessed",,47
20035,2021,"Unassessed",,47
20035,2023,"Unassessed",,47
20036,1990,"Unassessed",,47
20036,1993,"Unassessed",,47
20036,1996,"Unassessed",,47
20036,1999,"Unassessed",,47
20036,2001,"Low",3,47
20036,2003,"Low",3,47
20036,2005,"Low",3,47
20036,2007,"Low",3,47
20036,2009,"Low",3,47
20036,2011,"Unassessed",,47
20036,2013,"Unassessed",,47
20036,2015,"Unassessed",,47
20036,2017,"Unassessed",,47
20036,2019,"Unassessed",,47
20036,2021,"Unassessed",,47
20036,2023,"Unassessed",,47
20037,1990,"Low",3,47
20037,1993,"Low",3,47
20037,1996,"Low",3,47
20037,1999,"Low",3,47
20037,2001,"Low",3,47
20037,2003,"Low",3,47
20037,2005,"Low",3,47
20037,2007,"Low",3,47
20037,2009,"Low",3,47
20037,2011,"Unassessed",,47
20037,2013,"Unassessed",,47
20037,2015,"Unassessed",,47
20037,2017,"Unassessed",,47
20037,2019,"Unassessed",,47
20037,2021,"Unassessed",,47
20037,2023,"Unassessed",,47
20038,1990,"High",1,47
20038,1993,"High",1,47
20038,1996,"High",1,47
20038,1999,"High",1,47
20038,2001,"High",1,47
20038,2003,"High",1,47
20038,2005,"High",1,47
20038,2007,"High",1,47
20038,2009,"High",1,47
20038,2011,"High",1,47
20038,2013,"High",1,47
20038,2015,"High",1,47
20038,2017,"High",1,47
20038,2019,"High",1,47
20038,2021,"High",1,47
20038,2023,"High",1,47
20039,1990,"Unassessed",,47
20039,1993,"Unassessed",,47
20039,1996,"Unassessed",,47
20039,1999,"Unassessed",,47
20039,2001,"Unassessed",,47
20039,2003,"Unassessed",,47
20039,2005,"Unassessed",,47
20039,2007,"Low",3,47
20039,2009,"Unassessed",,47
20039,2011,"Unassessed",,47
20039,2013,"Unassessed",,47
20039,2015,"Unassessed",,47
20039,2017,"Unassessed",,47
20039,2019,"Unassessed",,47
20039,2021,"Unassessed",,47
20039,2023,"Unassessed",,47
20040,1990,"High",1,47
20040,1993,"High",1,47
20040,1996,"High",1,47
20040,1999,"High",1,47
20040,2001,"High",1,47
20040,2003,"High",1,47
20040,2005,"High",1,47
20040,2007,"High",1,47
20040,2009,"High",1,47
20040,2011,"High",1,47
20040,2013,"High",1,47
20040,2015,"High",1,47
20040,2017,"High",1,47
20040,2019,"High",1,47
20040,2021,"High",1,47
20040,2023,"High",1,47
20050,1990,"Unassessed",,47
20050,1993,"Unassessed",,47
20050,1996,"High",1,47
20050,1999,"Unassessed",,47
20050,2001,"Unassessed",,47
20050,2003,"Unassessed",,47
20050,2005,"Unassessed",,47
20050,2007,"Unassessed",,47
20050,2009,"Unassessed",,47
20050,2011,"High",1,47
20050,2013,"High",1,47
20050,2015,"High",1,47
20050,2017,"High",1,47
20050,2019,"High",1,47
20050,2021,"High",1,47
20050,2023,"High",1,47
20055,1990,"Unassessed",,47
20055,1993,"Unassessed",,47
20055,1996,"Unassessed",,47
20055,1999,"Unassessed",,47
20055,2001,"Unassessed",,47
20055,2003,"Unassessed",,47
20055,2005,"Unassessed",,47
20055,2007,"High",1,47
20055,2009,"Unassessed",,47
20055,2011,"Unassessed",,47
20055,2013,"Unassessed",,47
20055,2015,"Unassessed",,47
20055,2017,"Unassessed",,47
20055,2019,"Unassessed",,47
20055,2021,"Unassessed",,47
20055,2023,"Unassessed",,47
20071,1990,"High",1,47
20071,1993,"High",1,47
20071,1996,"High",1,47
20071,1999,"High",1,47
20071,2001,"High",1,47
20071,2003,"High",1,47
20071,2005,"High",1,47
20071,2007,"High",1,47
20071,2009,"High",1,47
20071,2011,"High",1,47
20071,2013,"High",1,47
20071,2015,"High",1,47
20071,2017,"High",1,47
20071,2019,"High",1,47
20071,2021,"High",1,47
20071,2023,"High",1,47
20110,1990,"Unassessed",,47
20110,1993,"Unassessed",,47
20110,1996,"Unassessed",,47
20110,1999,"Unassessed",,47
20110,2001,"Unassessed",,47
20110,2003,"Unassessed",,47
20110,2005,"Unassessed",,47
20110,2007,"Unassessed",,47
20110,2009,"Unassessed",,47
20110,2011,"Unassessed",,47
20110,2013,"Unassessed",,47
20110,2015,"Unassessed",,47
20110,2017,"Unassessed",,47
20110,2019,"Unassessed",,47
20110,2021,"Unassessed",,47
20110,2023,"Unassessed",,47
20120,1990,"Unassessed",,47
20120,1993,"Unassessed",,47
20120,1996,"Unassessed",,47
20120,1999,"Unassessed",,47
20120,2001,"Unassessed",,47
20120,2003,"Unassessed",,47
20120,2005,"Unassessed",,47
20120,2007,"High",1,47
20120,2009,"High",1,47
20120,2011,"Unassessed",,47
20120,2013,"Unassessed",,47
20120,2015,"Unassessed",,47
20120,2017,"Unassessed",,47
20120,2019,"Unassessed",,47
20120,2021,"Unassessed",,47
20120,2023,"Unassessed",,47
20202,1990,"High",1,47
20202,1993,"High",1,47
20202,1996,"High",1,47
20202,1999,"High",1,47
20202,2001,"High",1,47
20202,2003,"High",1,47
20202,2005,"High",1,47
20202,2007,"High",1,47
20202,2009,"High",1,47
20202,2011,"High",1,47
20202,2013,"High",1,47
20202,2015,"High",1,47
20202,2017,"High",1,47
20202,2019,"High",1,47
20202,2021,"High",1,47
20202,2023,"High",1,47
20320,1990,"High",1,47
20320,1993,"High",1,47
20320,1996,"High",1,47
20320,1999,"High",1,47
20320,2001,"High",1,47
20320,2003,"High",1,47
20320,2005,"High",1,47
20320,2007,"High",1,47
20320,2009,"High",1,47
20320,2011,"High",1,47
20320,2013,"High",1,47
20320,2015,"High",1,47
20320,2017,"High",1,47
20320,2019,"High",1,47
20320,2021,"High",1,47
20320,2023,"High",1,47
20322,1990,"High",1,47
20322,1993,"High",1,47
20322,1996,"High",1,47
20322,1999,"High",1,47
20322,2001,"High",1,47
20322,2003,"High",1,47
20322,2005,"High",1,47
20322,2007,"High",1,47
20322,2009,"High",1,47
20322,2011,"High",1,47
20322,2013,"High",1,47
20322,2015,"High",1,47
20322,2017,"High",1,47
20322,2019,"High",1,47
20322,2021,"High",1,47
20322,2023,"High",1,47
20510,1990,"High",1,47
20510,1993,"High",1,47
20510,1996,"High",1,47
20510,1999,"High",1,47
20510,2001,"High",1,47
20510,2003,"High",1,47
20510,2005,"High",1,47
20510,2007,"High",1,47
20510,2009,"High",1,47
20510,2011,"High",1,47
20510,2013,"High",1,47
20510,2015,"High",1,47
20510,2017,"High",1,47
20510,2019,"High",1,47
20510,2021,"High",1,47
20510,2023,"High",1,47
20572,1990,"Unassessed",,47
20572,1993,"Unassessed",,47
20572,1996,"Low",3,47
20572,1999,"Unassessed",,47
20572,2001,"Unassessed",,47
20572,2003,"Unassessed",,47
20572,2005,"Unassessed",,47
20572,2007,"Unassessed",,47
20572,2009,"Unassessed",,47
20572,2011,"Unassessed",,47
20572,2013,"Unassessed",,47
20572,2015,"Unassessed",,47
20572,2017,"Unassessed",,47
20572,2019,"Unassessed",,47
20572,2021,"Unassessed",,47
20572,2023,"Unassessed",,47
20573,1990,"Unassessed",,47
20573,1993,"Unassessed",,47
20573,1996,"Unassessed",,47
20573,1999,"Low",3,47
20573,2001,"Unassessed",,47
20573,2003,"Unassessed",,47
20573,2005,"Unassessed",,47
20573,2007,"Unassessed",,47
20573,2009,"Unassessed",,47
20573,2011,"Unassessed",,47
20573,2013,"Unassessed",,47
20573,2015,"Unassessed",,47
20573,2017,"Unassessed",,47
20573,2019,"Unassessed",,47
20573,2021,"Unassessed",,47
20573,2023,"Unassessed",,47
20615,1990,"Unassessed",,47
20615,1993,"Unassessed",,47
20615,1996,"Unassessed",,47
20615,1999,"Unassessed",,47
20615,2001,"Unassessed",,47
20615,2003,"Unassessed",,47
20615,2005,"Low",3,47
20615,2007,"Low",3,47
20615,2009,"Low",3,47
20615,2011,"Low",3,47
20615,2013,"Low",3,47
20615,2015,"Low",3,47
20615,2017,"Low",3,47
20615,2019,"Low",3,47
20615,2021,"Low",3,47
20615,2023,"Low",3,47
20619,1990,"Unassessed",,47
20619,1993,"Unassessed",,47
20619,1996,"Unassessed",,47
20619,1999,"High",1,47
20619,2001,"Unassessed",,47
20619,2003,"High",1,47
20619,2005,"High",1,47
20619,2007,"High",1,47
20619,2009,"High",1,47
20619,2011,"High",1,47
20619,2013,"High",1,47
20619,2015,"High",1,47
20619,2017,"High",1,47
20619,2019,"High",1,47
20619,2021,"High",1,47
20619,2023,"High",1,47
20620,1990,"Low",3,47
20620,1993,"Low",3,47
20620,1996,"Low",3,47
20620,1999,"Low",3,47
20620,2001,"Low",3,47
20620,2003,"Low",3,47
20620,2005,"Low",3,47
20620,2007,"Low",3,47
20620,2009,"Low",3,47
20620,2011,"Low",3,47
20620,2013,"Low",3,47
20620,2015,"Low",3,47
20620,2017,"Low",3,47
20620,2019,"Low",3,47
20620,2021,"Low",3,47
20620,2023,"Low",3,47
20622,1990,"High",1,47
20622,1993,"High",1,47
20622,1996,"High",1,47
20622,1999,"High",1,47
20622,2001,"High",1,47
20622,2003,"High",1,47
20622,2005,"High",1,47
20622,2007,"High",1,47
20622,2009,"High",1,47
20622,2011,"High",1,47
20622,2013,"High",1,47
20622,2015,"High",1,47
20622,2017,"High",1,47
20622,2019,"High",1,47
20622,2021,"High",1,47
20622,2023,"High",1,47
20624,1990,"Low",3,47
20624,1993,"Low",3,47
20624,1996,"Low",3,47
20624,1999,"Low",3,47
20624,2001,"Low",3,47
20624,2003,"Low",3,47
20624,2005,"Low",3,47
20624,2007,"Low",3,47
20624,2009,"Low",3,47
20624,2011,"Low",3,47
20624,2013,"Low",3,47
20624,2015,"Low",3,47
20624,2017,"Low",3,47
20624,2019,"Low",3,47
20624,2021,"Low",3,47
20624,2023,"Low",3,47
20660,1990,"Unassessed",,47
20660,1993,"Unassessed",,47
20660,1996,"Unassessed",,47
20660,1999,"High",1,47
20660,2001,"Unassessed",,47
20660,2003,"High",1,47
20660,2005,"Unassessed",,47
20660,2007,"Unassessed",,47
20660,2009,"Unassessed",,47
20660,2011,"Unassessed",,47
20660,2013,"Unassessed",,47
20660,2015,"Unassessed",,47
20660,2017,"Unassessed",,47
20660,2019,"Unassessed",,47
20660,2021,"Unassessed",,47
20660,2023,"Unassessed",,47
20702,1990,"High",1,47
20702,1993,"High",1,47
20702,1996,"High",1,47
20702,1999,"High",1,47
20702,2001,"High",1,47
20702,2003,"High",1,47
20702,2005,"High",1,47
20702,2007,"High",1,47
20702,2009,"High",1,47
20702,2011,"High",1,47
20702,2013,"High",1,47
20702,2015,"High",1,47
20702,2017,"High",1,47
20702,2019,"High",1,47
20702,2021,"High",1,47
20702,2023,"High",1,47
20712,1990,"High",1,47
20712,1993,"High",1,47
20712,1996,"High",1,47
20712,1999,"High",1,47
20712,2001,"High",1,47
20712,2003,"High",1,47
20712,2005,"High",1,47
20712,2007,"High",1,47
20712,2009,"High",1,47
20712,2011,"High",1,47
20712,2013,"High",1,47
20712,2015,"High",1,47
20712,2017,"High",1,47
20712,2019,"High",1,47
20712,2021,"High",1,47
20712,2023,"High",1,47
20713,1990,"Unassessed",,47
20713,1993,"Unassessed",,47
20713,1996,"Unassessed",,47
20713,1999,"High",1,47
20713,2001,"High",1,47
20713,2003,"Unassessed",,47
20713,2005,"Unassessed",,47
20713,2007,"Unassessed",,47
20713,2009,"Unassessed",,47
20713,2011,"Unassessed",,47
20713,2013,"Unassessed",,47
20713,2015,"Unassessed",,47
20713,2017,"Unassessed",,47
20713,2019,"Unassessed",,47
20713,2021,"Unassessed",,47
20713,2023,"Unassessed",,47
20720,1990,"High",1,47
20720,1993,"High",1,47
20720,1996,"High",1,47
20720,1999,"High",1,47
20720,2001,"High",1,47
20720,2003,"High",1,47
20720,2005,"High",1,47
20720,2007,"High",1,47
20720,2009,"High",1,47
20720,2011,"High",1,47
20720,2013,"High",1,47
20720,2015,"High",1,47
20720,2017,"High",1,47
20720,2019,"High",1,47
20720,2021,"High",1,47
20720,2023,"High",1,47
20842,1990,"Unassessed",,47
20842,1993,"Unassessed",,47
20842,1996,"Unassessed",,47
20842,1999,"Unassessed",,47
20842,2001,"Unassessed",,47
20842,2003,"Unassessed",,47
456,2013,"Unassessed",,47
456,2015,"Unassessed",,47
456,2017,"Unassessed",,47
456,2019,"Unassessed",,47
456,2021,"Unassessed",,47
456,2023,"Unassessed",,47
460,1990,"Moderate",2,47
460,1993,"Moderate",2,47
460,1996,"High",1,47
460,1999,"High",1,47
460,2001,"High",1,47
460,2003,"High",1,47
460,2005,"High",1,47
460,2007,"High",1,47
460,2009,"High",1,47
460,2011,"High",1,47
460,2013,"High",1,47
460,2015,"High",1,47
460,2017,"High",1,47
460,2019,"High",1,47
460,2021,"High",1,47
460,2023,"High",1,47
461,1990,"Unassessed",,47
461,1993,"Unassessed",,47
461,1996,"Unassessed",,47
461,1999,"Unassessed",,47
461,2001,"Unassessed",,47
461,2003,"Unassessed",,47
461,2005,"Unassessed",,47
461,2007,"Unassessed",,47
461,2009,"High",1,47
461,2011,"Unassessed",,47
461,2013,"Unassessed",,47
461,2015,"Unassessed",,47
461,2017,"Unassessed",,47
461,2019,"Unassessed",,47
461,2021,"Unassessed",,47
461,2023,"Unassessed",,47
471,1990,"High",1,47
471,1993,"High",1,47
471,1996,"High",1,47
471,1999,"High",1,47
471,2001,"High",1,47
471,2003,"High",1,47
471,2005,"High",1,47
471,2007,"High",1,47
471,2009,"High",1,47
471,2011,"High",1,47
471,2013,"High",1,47
471,2015,"High",1,47
471,2017,"High",1,47
471,2019,"High",1,47
471,2021,"High",1,47
471,2023,"High",1,47
472,1990,"High",1,47
472,1993,"High",1,47
472,1996,"High",1,47
472,1999,"High",1,47
472,2001,"High",1,47
472,2003,"High",1,47
472,2005,"High",1,47
472,2007,"High",1,47
472,2009,"High",1,47
472,2011,"High",1,47
472,2013,"High",1,47
472,2015,"High",1,47
472,2017,"High",1,47
472,2019,"High",1,47
472,2021,"High",1,47
472,2023,"High",1,47
473,1990,"Unassessed",,47
473,1993,"Unassessed",,47
473,1996,"Unassessed",,47
473,1999,"Unassessed",,47
473,2001,"Unassessed",,47
473,2003,"Unassessed",,47
473,2005,"High",1,47
473,2007,"Unassessed",,47
473,2009,"High",1,47
473,2011,"Unassessed",,47
473,2013,"Unassessed",,47
473,2015,"Unassessed",,47
473,2017,"Unassessed",,47
473,2019,"Unassessed",,47
473,2021,"Unassessed",,47
473,2023,"Unassessed",,47
474,1990,"Unassessed",,47
474,1993,"Unassessed",,47
474,1996,"Unassessed",,47
474,1999,"Unassessed",,47
474,2001,"Unassessed",,47
474,2003,"Unassessed",,47
474,2005,"High",1,47
474,2007,"High",1,47
474,2009,"High",1,47
474,2011,"Unassessed",,47
474,2013,"Unassessed",,47
474,2015,"Unassessed",,47
474,2017,"Unassessed",,47
474,2019,"Unassessed",,47
474,2021,"Unassessed",,47
474,2023,"Unassessed",,47
475,1990,"Unassessed",,47
475,1993,"Unassessed",,47
475,1996,"Unassessed",,47
475,1999,"High",1,47
475,2001,"High",1,47
475,2003,"High",1,47
475,2005,"High",1,47
475,2007,"High",1,47
475,2009,"High",1,47
475,2011,"High",1,47
475,2013,"High",1,47
475,2015,"High",1,47
475,2017,"High",1,47
475,2019,"High",1,47
475,2021,"High",1,47
475,2023,"High",1,47
480,1990,"Unassessed",,47
480,1993,"Unassessed",,47
480,1996,"Unassessed",,47
480,1999,"High",1,47
480,2001,"High",1,47
480,2003,"High",1,47
480,2005,"High",1,47
480,2007,"High",1,47
480,2009,"High",1,47
480,2011,"High",1,47
480,2013,"High",1,47
480,2015,"High",1,47
480,2017,"High",1,47
480,2019,"High",1,47
480,2021,"High",1,47
480,2023,"High",1,47
483,1990,"Unassessed",,47
483,1993,"Unassessed",,47
483,1996,"Unassessed",,47
483,1999,"Unassessed",,47
483,2001,"Unassessed",,47
483,2003,"Unassessed",,47
483,2005,"High",1,47
483,2007,"High",1,47
483,2009,"High",1,47
483,2011,"High",1,47
483,2013,"High",1,47
483,2015,"High",1,47
483,2017,"High",1,47
483,2019,"High",1,47
483,2021,"High",1,47
483,2023,"High",1,47
485,1990,"Unassessed",,47
485,1993,"Unassessed",,47
485,1996,"Unassessed",,47
485,1999,"Unassessed",,47
485,2001,"Unassessed",,47
485,2003,"High",1,47
485,2005,"High",1,47
485,2007,"High",1,47
485,2009,"High",1,47
485,2011,"High",1,47
485,2013,"High",1,47
485,2015,"High",1,47
485,2017,"High",1,47
485,2019,"High",1,47
485,2021,"High",1,47
485,2023,"High",1,47
710,1990,"High",1,47
710,1993,"High",1,47
